2019-01-11 19:30:44 ===== Starting: ShallowRedExperiment =====
2019-01-11 19:36:21 Run
2019-01-11 19:36:21 id = 5 (machine1); Seed = 0; Starting new sample
2019-01-11 19:36:21 id = 4 (machine1); Seed = 1; Starting new sample
2019-01-11 19:36:21 id = 3 (machine1); Seed = 2; Starting new sample
2019-01-11 19:36:21 id = 2 (machine1); Seed = 3; Starting new sample
2019-01-11 19:36:21 id = 1 (machine1); Seed = 4; Starting new sample
2019-01-11 19:36:21 id = 0 (machine1); Seed = 5; Starting new sample
2019-01-11 19:38:38 id = 4 (machine1); Seed = 1; Done (0)
2019-01-11 19:38:38 id = 4 (machine1); Seed = 6; Starting new sample
2019-01-11 19:38:42 id = 1 (machine1); Seed = 4; Done (0)
2019-01-11 19:38:42 id = 1 (machine1); Seed = 7; Starting new sample
2019-01-11 19:39:30 id = 2 (machine1); Seed = 3; Done (0)
2019-01-11 19:39:30 id = 2 (machine1); Seed = 8; Starting new sample
2019-01-11 19:40:25 id = 0 (machine1); Seed = 5; Done (0)
2019-01-11 19:40:25 id = 0 (machine1); Seed = 9; Starting new sample
2019-01-11 19:40:57 id = 3 (machine1); Seed = 2; Done (0)
2019-01-11 19:40:57 id = 3 (machine1); Seed = 10; Starting new sample
2019-01-11 19:41:47 id = 5 (machine1); Seed = 0; Done (0)
2019-01-11 19:41:47 id = 5 (machine1); Seed = 11; Starting new sample
2019-01-11 19:41:54 id = 2 (machine1); Seed = 8; Done (0)
2019-01-11 19:41:54 id = 2 (machine1); Seed = 12; Starting new sample
2019-01-11 19:44:10 id = 3 (machine1); Seed = 10; Done (0)
2019-01-11 19:44:10 id = 3 (machine1); Seed = 13; Starting new sample
2019-01-11 19:45:14 id = 1 (machine1); Seed = 7; Done (0)
2019-01-11 19:45:14 id = 1 (machine1); Seed = 14; Starting new sample
2019-01-11 19:47:06 id = 5 (machine1); Seed = 11; Done (0)
2019-01-11 19:47:06 id = 5 (machine1); Seed = 15; Starting new sample
2019-01-11 19:49:40 id = 5 (machine1); Seed = 15; Done (0)
2019-01-11 19:49:40 id = 5 (machine1); Seed = 16; Starting new sample
2019-01-11 19:49:58 id = 0 (machine1); Seed = 9; Done (0)
2019-01-11 19:49:58 id = 0 (machine1); Seed = 17; Starting new sample
2019-01-11 19:50:39 id = 2 (machine1); Seed = 12; Done (0)
2019-01-11 19:50:39 id = 2 (machine1); Seed = 18; Starting new sample
2019-01-11 19:51:33 id = 3 (machine1); Seed = 13; Done (0)
2019-01-11 19:51:33 id = 3 (machine1); Seed = 19; Starting new sample
2019-01-11 19:52:12 id = 0 (machine1); Seed = 17; Done (0)
2019-01-11 19:52:12 id = 0 (machine1); Seed = 20; Starting new sample
2019-01-11 19:53:07 id = 2 (machine1); Seed = 18; Done (0)
2019-01-11 19:53:07 id = 2 (machine1); Seed = 21; Starting new sample
2019-01-11 19:54:15 id = 0 (machine1); Seed = 20; Done (1)
2019-01-11 19:54:15 id = 0 (machine1); Seed = 22; Starting new sample
2019-01-11 19:54:16 id = 4 (machine1); Seed = 6; Done (0)
2019-01-11 19:54:16 id = 4 (machine1); Seed = 23; Starting new sample
2019-01-11 19:56:19 id = 3 (machine1); Seed = 19; Done (0)
2019-01-11 19:56:19 id = 3 (machine1); Seed = 24; Starting new sample
2019-01-11 19:58:36 id = 2 (machine1); Seed = 21; Done (0)
2019-01-11 19:58:36 id = 2 (machine1); Seed = 25; Starting new sample
2019-01-11 19:59:03 id = 1 (machine1); Seed = 14; Done (0)
2019-01-11 19:59:03 id = 1 (machine1); Seed = 26; Starting new sample
2019-01-11 19:59:06 id = 3 (machine1); Seed = 24; Done (0)
2019-01-11 19:59:06 id = 3 (machine1); Seed = 27; Starting new sample
2019-01-11 19:59:44 id = 0 (machine1); Seed = 22; Done (0)
2019-01-11 19:59:44 id = 0 (machine1); Seed = 28; Starting new sample
2019-01-11 20:01:06 id = 2 (machine1); Seed = 25; Done (0)
2019-01-11 20:01:06 id = 2 (machine1); Seed = 29; Starting new sample
2019-01-11 20:01:31 id = 1 (machine1); Seed = 26; Done (0)
2019-01-11 20:01:31 id = 1 (machine1); Seed = 30; Starting new sample
2019-01-11 20:03:21 id = 3 (machine1); Seed = 27; Done (0)
2019-01-11 20:03:21 id = 3 (machine1); Seed = 31; Starting new sample
2019-01-11 20:05:28 id = 0 (machine1); Seed = 28; Done (2)
2019-01-11 20:05:28 id = 0 (machine1); Seed = 32; Starting new sample
2019-01-11 20:06:01 id = 5 (machine1); Seed = 16; Done (0)
2019-01-11 20:06:01 id = 5 (machine1); Seed = 33; Starting new sample
2019-01-11 20:06:27 id = 4 (machine1); Seed = 23; Done (0)
2019-01-11 20:06:27 id = 4 (machine1); Seed = 34; Starting new sample
2019-01-11 20:07:16 id = 1 (machine1); Seed = 30; Done (0)
2019-01-11 20:07:16 id = 1 (machine1); Seed = 35; Starting new sample
